news_id,title,body_text,reliability
3,Novel Coronavirus Cases Confirmed To Be Spreading,"The first two coronavirus cases in Europe have been detected in France, and a second case has been confirmed in America as China expands its efforts to control its outbreak. Travel bans have been put in place and extended from central China to effectively put tens of millions of people in local lockdown. The virus was first detected in Wuhan where workers are racing to build a thousand bed hospital to treat patients affected by the disease. All around China, including in the capital Beijing authorities are cancelling all temple fairs and festivals that would accompany the Spring Festival to avoid having large public gathering which would create the perfect scenario for the airborne virus to spread further. More than 830 cases of coronavirus infection have been confirmed, at least 26 people have died, and another 8,420 people are reported by be under quarantine and observation for possible infection after",0
6,Corona Virus 2020: A Global Pandemic?,"Article courtesy of: Carol Petersen RPh CNP Influenza (flu) is defined as an acute, commonly epidemic disease, occurring in several forms, caused by numerous rapidly mutating viral strains and characterized by respiratory symptoms and general prostration. (1) The flu has a major impact on the lungs. Colds start in the nose and upper respiratory tract. Vomiting and diarrhea are assigned to yet another viral family. Corona Virus We are currently in the grip of a media frenzy and potential public health disaster. A new type of corona virus has emerged from a large city in China, Wuhan, and the world is bracing for an impact of a major epidemic. We have been here before, however, we have already experienced MERS (Middle East respiratory syndrome) and SARS (severe acute respiratory syndrome) along with the same specter of massive numbers of deaths. Corona viruses are thought to be generally mild and not",0
7,Natural Ways To Combat Flu Virus Symptoms,"Influenza is caused by a virus, and there are several kinds that can give you the flu. While there is no cure for the flu, there are ways both pharmaceutically and gentler more natural approaches to help soothe flu symptoms that may help to shorten how long you are sick. It is very important to drink plenty of water and other fluids, especially when you are not well to help your body loosen and get rid of built up mucus and phlegm to clear away. It is also very easy to get dehydrated when you are not feeling well and are not drinking or eating normally. In addition, fever, diarrhea, and vomiting can cause water loss. To help your body stay hydrated other than drinking water you can also drink coconut water, herbal teas, fresh juice, soups, broths, and consume fresh fruits and vegetables. You will be able to tell",0
9,2020 Coronavirus Report,"Article courtesy of: Dr. Ron Klatz M.D., D.O. who is the President/Founder of the American Academy of Anti-Aging Medicine (A4M), best selling author, lecturer, innovator, medical scientist, leading authority on anti-aging and longevity, and advocate for health, happiness, and wellness for all. The numbers on the image correspond with the numbers in the article body. 1. This epidemic virus spread may be cancelled with a simple and very inexpensive decontamination kit that you can purchase most of the parts for at your local discount dollar shop. The materials mentioned in this article can help to stop infections from spreading by mouth, nose, eyes, ears, and hands by providing a personal protective barrier. The Low Cost Viral Defense Kit 2. A clear plastic whole face mask can provide protection for your eyes, nose, ears and mouth. These are typically manufactured from plastic materials similar to common plastic bottles. They have a",0
10,How Viruses Easily Infect People Via Their Eyes & During Outings,"Viruses can survive outside of the human body for varying lengths of time after being expelled from the infected host. First the nasty will remain inactive in a non-hostile liquid, wet or moist medium, when that environment dries out the virus can then remain dormant in a dry state for weeks to months depending on the type of virus. Viruses are expelled out from an infected body into the air after a person sneezes or coughs. Unless covered up a sneeze can eject at over 100 miles per hour and as many as 50,000 individual aerosolized micro droplets of saliva and other moisture can be expelled to travel for a distance between 19-16 feet according to research from MIT. Uncovered aerosolized blasts of mist expelled from the cough or sneeze will be carrying viruses and bacteria, each of these droplets can hang in the air for minutes or longer depending",0
11,Antiviral Developed Using Sugar,"Antiviral materials have developed in collaboration by a team of international scientists using sugar that has been designed to destroy viruses on contact which may be useful against viral outbreaks; scientists from the Universities of Manchester, Geneva, and the EPFL in Lausanne are in the early stages of developing the broad spectrum activity of the antiviral material which could also be effective against newly prevalent viral diseases such as the coronavirus. The new antiviral shows promise for treatment of herpes simplex, respiratory syncytial virus, HIV, hepatitis C, and the Zika virus among others; and it has been demonstrated to be successful in treating a range of viruses in lab studies including genital herpes. Virucidal substances such as bleach are typically able to destroy viruses on contact but they are toxic to humans, meaning they canât be taken or applied to the body without causing harm; creating virucides from sugar has",0
12,"Coconut Oil's History in Destroying Viruses, Including Coronaviruses","Comments by Brian Shilhavy Editor, Health Impact News People living in the Philippines, a country of islands not very far off the coast of China, remember all too well the last time a deadly coronavirus epidemic broke out in China. It was 2003 when the SARS (severe acute respiratory syndrome) coronavirus broke out in China. It infected over 7000 people in China with over 600 recorded deaths. Even with its close proximity to China and large Chinese population in the Philippine nation of about 80 million people, only 14 cases of SARS was reported with two recorded deaths. Canada, many thousands of miles away, had far more cases and more deaths recorded due to SARS infection from China than neighboring Philippine Islands. One of the theories put forward at the time as to why the Filipino people had so few cases, was the countryâs predominant use of cooking oil: Coconut",0
13,Are Officials In China Downplaying Infection Numbers?,"Some agencies are reporting that officials in China are keeping two sets of coronavirus infections numbers: a set they let the public see, and the actual numbers. Recently this infectious disease has been spreading globally, and experts have been warning that China has been significantly understating the true numbers of infections and deaths caused by the coronavirus. Now apparently evidence has emerged that allegedly supports those sentiments, and this evidence appears to indicate that officials in China are keeping two sets of numbers regarding what they want the public to know about the numbers of infections and deaths and the actual numbers. âAs Taiwan [News] reports in a report first spotted by user @TheHKGroup, over the weekend, Tencent âseems to have inadvertently released what is potentially the actual number of infections and deaths, which were astronomically higher than official figuresâ, and were far closer to the catastrophic epidemic projections made",0
16,Global Research Pushes Molecular Medicine Therapy for Coronavirus Treatment,"Scientists are working night and day, racing to find a cure for the novel coronavirus; and an East-meets-West combination of medicines is now suggested to be the recommended course. Health authorities in the Republic of China are focusing more and more on millennia-old traditional medicines to treat the novel coronavirus which has so far reportedly killed more than 630 people and infected over 32,000 worldwide. It has been reported that eight patients infected with novel coronavirus (2019-nCoV) pneumonia have been treated and cured by a combination of TCM and Western medicine in Jinyintan Hospital in Wuhan, which is the epicenter of the coronavirus outbreak. The patients were discharged from the hospital on February 4, 2020. They are the first batch of patients cured by such a hybrid treatment in the hospital, one of the designated institutes admitting patients infected with the virus in Wuhan, capital of central China's Hubei Province.",0
17,CDC Expert Says Coronavirus Is Not Controllable & Will Spread,"CDC intelligence officer, researcher, and vaccine deployment expert admits to the coronavirus pandemic being beyond control and that it will spread globally. Although some of the media is trying to downplay the coronavirus pandemic, and some even suggest that it is not real, footage is being leaked, and some establishment scientists are even warning that this outbreak may not be able to be contained. Dr. Nancy Messonnier works for the CDC and previously was an epidemic intelligence officer with the Deputy director for Infectious Diseases under the CDC, as well as being an anthrax researcher and an African vaccine deployment expert. Messonnier was quoted as saying,âWe are preparing as if this were the next pandemic,â and reiterating that it, âwould be impossibleâ to fully contain the virus and prevent the outbreak from spreading. Her word-for-word quote from Bloomberg reads: âTotal containment isnât in the cards, said Nancy Messonnier, director of",0
18,Donât Die From The Flu,"Article courtesy of: Carol Petersen, RPh, CNP Viruses have been with us since the dawn of man. An estimated 380 trillion viruses can infect the human body at any one time. (1) Human biology is exquisitely tuned to defeat viruses or to coexist with viruses as part of the human viome. Our relationship with microbes is vibrant and sometimes a fight for one-upmanship. (2) Our existence is a testament to our ability to manage viral loads. The pharmacopeias of the world, of some 500,000 different drugs, contain long lists of substances which have antiviral, antibiotic and immune boosting substances. This list alone of antiviral drugs (3) is impressive. It is almost certain that within the realm of the worldwide knowledge of substances, that some would exist which would counter the threat of the coronavirus and any other virus that overwhelms us. Given the threat of global viral pandemics, how can",0
19,Heartland Weekly â The Disastrous Socialist Revolution,"If you donât visit Freedom Pub and the Heartlander digital magazine every day, youâre missing out on some of the best news and commentary on liberty and free markets you can find. But worry not, freedom lovers! Heartland Weekly is here for you every Monday with a highlight show. Subscribe to the email today, and read this weekâs edition below. Environmentalism as a Death Cult Edward Hudgins Townhall High profile environmentalists are accepting and even actively cheering for the extinction of humanity, which calls into question the basis of their activism if nobody is left afterwards to enjoy it. The Disastrous Socialist Revolution Justin Haskins Fox News Socialists politicians wish to launch a second American Revolution run by a gigantic government bureaucracy, supported by enormous tax increases, and featuring a massive number of regulations. GND Horrible for Environment Tim Benson Watts Up With That A new Heartland Institute Policy Brief",0
